"dscode"	"dcode"	"scode"	"scodeyear"	"year"	"pt"	"fhcl"	"fhpr"	"bdbest"	"poltot"	"polacc"	"polpro"	"polwel"	"unp"	"lnapps"	"lnsttot"	"lngdpsource"	"lngdpdest"	"lndist"
"149"	124	1	24	200124	2001	4	3	2	1597	3.25	0.5	1.5	1.25	6.80000019073486	6.94889736175537	11.257116317749	7.5929708480835	10.2815132141113	2.33088088035583
"150"	124	1	24	200224	2002	4	3	2	2005	7	2	3	2	6.40000009536743	6.99759578704834	11.257116317749	7.62346601486206	10.3193979263306	2.33088088035583
"151"	124	1	24	200324	2003	4	3	2	1699	7	2	3	2	5.90000009536743	7.0103120803833	11.257116317749	7.67124891281128	10.3666868209839	2.33088088035583
"152"	124	1	24	200424	2004	3.5	3	2	1397	7	2	3	2	5.40000009536743	6.13556480407715	11.257116317749	7.74817514419556	10.4123811721802	2.33088088035583
"153"	124	1	24	200524	2005	3.5	3	2	1374	7	2	3	2	5	5.85507202148438	11.257116317749	7.8206524848938	10.4598979949951	2.33088088035583
"154"	124	1	24	200624	2006	3.5	3	2	1315	7	2	3	2	4.80000019073486	6.505784034729	11.257116317749	7.89185047149658	10.5158042907715	2.33088088035583
"155"	124	1	24	200724	2007	4	3	2	1169	7	2	3	2	4.40000009536743	6.48463535308838	11.257116317749	7.97986602783203	10.5647058486938	2.33088088035583
"156"	124	1	24	200824	2008	4	3	2	1078	5.25	2	2	1.25	4.19999980926514	6.45990467071533	11.257116317749	7.98941469192505	10.572060585022	2.33088088035583
"157"	124	1	24	200924	2009	4	3	2	1149	4	2	1	1	5.59999990463257	6.03068542480469	11.257116317749	8.07452774047852	10.6087608337402	2.33088088035583
"158"	124	1	24	201024	2010	4	3	2	980	4	2	1	1	5.19999980926514	6.36647033691406	11.257116317749	8.15401458740234	10.6349658966064	2.33088088035583
"159"	124	1	24	201124	2011	4	3	2	427	4	2	1	1	5.09999990463257	7.07918453216553	11.257116317749	8.20179653167725	10.6651105880737	2.33088088035583
"160"	124	1	24	201224	2012	4	3	2	0	4	2	1	1	5.19999980926514	7.37086009979248	11.257116317749	8.22035503387451	10.6988306045532	2.33088088035583
"161"	125	1	25	199725	1997	3.5	5	7	45	0	0	0	0	8.5	7.12929773330688	10.2455863952637	8.05570983886719	10.0910453796387	1.68491637706757
"162"	125	1	25	199825	1998	4	4	6	38	0	0	0	0	7.69999980926514	7.54750156402588	10.2455863952637	7.89751195907593	10.1464729309082	1.68491637706757
"163"	125	1	25	199925	1999	4	4	4	112	0	0	0	0	6.90000009536743	7.1228666305542	10.2455863952637	7.88280916213989	10.1967544555664	1.68491637706757
"164"	125	1	25	200025	2000	4	4	3	282	2	0	1	1	6.30000019073486	7.28892755508423	10.2455863952637	7.91930150985718	10.2396383285522	1.68491637706757
"165"	125	1	25	200125	2001	4	4	3	213	3.25	0.5	1.5	1.25	6.80000019073486	7.33236932754517	10.2455863952637	7.94255065917969	10.2815132141113	1.68491637706757
"166"	125	1	25	200225	2002	4	4	3	112	7	2	3	2	6.40000009536743	7.10414409637451	10.2455863952637	7.96349477767944	10.3193979263306	1.68491637706757
"167"	125	1	25	200325	2003	4.5	4	3	478	7	2	3	2	5.90000009536743	6.03068542480469	10.2455863952637	8.01590824127197	10.3666868209839	1.68491637706757
